ticker,collection_date,phase,days_from_apr2,optionSymbol,side,expiration,dte,underlyingPrice,strike,moneyness,moneyness_pct,moneyness_cat,bid,ask,mid,last,spread,relative_spread,is_illiquid,bidSize,askSize,volume,openInterest,intrinsicValue,extrinsicValue,inTheMoney,realised_vol,underlying,firstTraded,updated
PG,2025-03-24,1,-9,PG250328P00167500,put,2025-03-28 20:00:00,4,165.65,167.5,1.0111681255659524,1.1168125565952274,ATM,2.15,2.49,2.32,2.08,0.3400000000000003,0.1465517241379312,False,12,21,79,1055,1.85,0.47,True,,PG,2025-03-10 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00170000,put,2025-03-28 20:00:00,4,165.65,170.0,1.0262601871415635,2.6260187141563502,ATM,3.9,4.5,4.2,4.35,0.6000000000000001,0.1428571428571428,False,52,5,15,2285,4.35,0.15,True,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00172500,put,2025-03-28 20:00:00,4,165.65,172.5,1.041352248717175,4.135224871717473,ITM,6.65,7.95,7.3,5.42,1.2999999999999998,0.1780821917808219,False,13,71,0,135,6.85,0.45,True,,PG,2025-03-10 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00175000,put,2025-03-28 20:00:00,4,165.65,175.0,1.0564443102927858,5.644431029278596,ITM,9.15,9.45,9.3,9.62,0.2999999999999989,0.0322580645161289,False,7,5,1,34,9.35,0.05,True,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00177500,put,2025-03-28 20:00:00,4,165.65,177.5,1.0715363718683972,7.153637186839719,ITM,11.65,11.95,11.8,11.0,0.2999999999999989,0.0254237288135592,False,6,5,4,759,11.85,0.05,True,,PG,2025-03-10 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00180000,put,2025-03-28 20:00:00,4,165.65,180.0,1.0866284334440084,8.662843344400843,ITM,13.8,15.45,14.625,12.05,1.6499999999999986,0.1128205128205127,False,71,73,0,0,14.35,0.275,True,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00182500,put,2025-03-28 20:00:00,4,165.65,182.5,1.1017204950196196,10.172049501961965,ITM,15.9,17.85,16.875,9.65,1.950000000000001,0.1155555555555556,False,72,71,0,0,16.85,0.025,True,,PG,2025-03-10 13:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250328P00185000,put,2025-03-28 20:00:00,4,165.65,185.0,1.116812556595231,11.681255659523089,ITM,19.05,21.3,20.175,7.85,2.25,0.1115241635687732,False,38,71,0,0,19.35,0.825,True,,PG,2025-02-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250425C00120000,call,2025-04-25 20:00:00,32,165.65,120.0,0.7244189556293389,-27.558104437066103,ITM,45.8,46.8,46.3,0.0,1.0,0.0215982721382289,False,27,54,0,0,45.65,0.65,True,,PG,2025-03-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250425C00125000,call,2025-04-25 20:00:00,32,165.65,125.0,0.7546030787805614,-24.53969212194385,ITM,40.7,41.85,41.275,0.0,1.1499999999999986,0.0278619018776498,False,42,52,0,0,40.65,0.625,True,,PG,2025-03-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250425C00130000,call,2025-04-25 20:00:00,32,165.65,130.0,0.7847872019317839,-21.52127980682161,ITM,35.7,36.85,36.275,36.75,1.1499999999999986,0.0317022742935905,False,46,37,0,6,35.65,0.625,True,,PG,2025-03-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250425C00135000,call,2025-04-25 20:00:00,32,165.65,135.0,0.8149713250830063,-18.50286749169937,ITM,30.85,31.8,31.325,32.95,0.9499999999999992,0.0303272146847565,False,25,28,0,5,30.65,0.675,True,,PG,2025-03-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250425C00140000,call,2025-04-25 20:00:00,32,165.65,140.0,0.8451554482342287,-15.48445517657712,ITM,25.75,27.0,26.375,0.0,1.25,0.0473933649289099,False,35,46,0,0,25.65,0.725,True,,PG,2025-03-06 14:30:00,2025-03-24 20:00:00
PG,2025-03-24,1,-9,PG250425C00145000,call,2025-04-25 20:00:00,32,165.65,145.0,0.8753395713854513,-12.466042861454875,ITM,20.95,22.0,21.475,0.0,1.0500000000000007,0.0488940628637951,False,11,40,0,0,20.65,0.825,True,,PG,2025-03-06 14:30:00,2025-03-24 20:00:00
