ticker,collection_date,phase,days_from_apr2,optionSymbol,side,expiration,dte,underlyingPrice,strike,moneyness,moneyness_pct,moneyness_cat,bid,ask,mid,last,spread,relative_spread,is_illiquid,bidSize,askSize,volume,openInterest,intrinsicValue,extrinsicValue,inTheMoney,realised_vol,underlying,firstTraded,updated
AAPL,2025-08-11,3,131,AAPL250815P00205000,put,2025-08-15 20:00:00,4,227.18,205.0,0.9023681662118144,-9.76318337881856,OTM,0.11,0.13,0.12,0.13,0.02,0.1666666666666667,False,45,16,6132,28041,0.0,0.12,False,0.2832343001943923,AAPL,2024-08-05 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00207500,put,2025-08-15 20:00:00,4,227.18,207.5,0.9133726560436658,-8.662734395633422,OTM,0.14,0.16,0.15,0.17,0.0199999999999999,0.1333333333333332,False,37,17,4444,8906,0.0,0.15,False,0.2832343001943923,AAPL,2025-07-21 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00210000,put,2025-08-15 20:00:00,4,227.18,210.0,0.9243771458755172,-7.562285412448282,OTM,0.18,0.21,0.195,0.19,0.03,0.1538461538461538,False,49,19,15757,60880,0.0,0.195,False,0.2832343001943923,AAPL,2024-08-05 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00212500,put,2025-08-15 20:00:00,4,227.18,212.5,0.9353816357073684,-6.461836429263141,OTM,0.25,0.27,0.26,0.25,0.02,0.0769230769230769,False,41,71,4678,11226,0.0,0.26,False,0.2832343001943923,AAPL,2025-07-21 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00215000,put,2025-08-15 20:00:00,4,227.18,215.0,0.94638612553922,-5.361387446078003,OTM,0.34,0.36,0.35,0.34,0.0199999999999999,0.057142857142857,False,112,15,14783,34563,0.0,0.35,False,0.2832343001943923,AAPL,2024-08-05 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00217500,put,2025-08-15 20:00:00,4,227.18,217.5,0.9573906153710714,-4.260938462892863,OTM,0.51,0.53,0.52,0.53,0.02,0.0384615384615384,False,28,5,11370,5075,0.0,0.52,False,0.2832343001943923,AAPL,2025-07-21 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00220000,put,2025-08-15 20:00:00,4,227.18,220.0,0.9683951052029228,-3.160489479707724,OTM,0.79,0.82,0.805,0.81,0.0299999999999999,0.0372670807453415,False,24,10,20383,21203,0.0,0.805,False,0.2832343001943923,AAPL,2024-08-05 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00222500,put,2025-08-15 20:00:00,4,227.18,222.5,0.979399595034774,-2.0600404965225843,ATM,1.25,1.29,1.27,1.27,0.04,0.031496062992126,False,19,9,19269,8739,0.0,1.27,False,0.2832343001943923,AAPL,2025-07-21 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00225000,put,2025-08-15 20:00:00,4,227.18,225.0,0.9904040848666256,-0.9595915133374446,ATM,1.98,2.02,2.0,2.01,0.04,0.02,False,18,2,38105,18351,0.0,2.0,False,0.2832343001943923,AAPL,2024-08-05 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00227500,put,2025-08-15 20:00:00,4,227.18,227.5,1.0014085746984769,0.1408574698476948,ATM,3.0,3.1,3.05,3.05,0.1,0.0327868852459016,False,17,9,21826,4669,0.32,2.73,True,0.2832343001943923,AAPL,2025-07-21 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00230000,put,2025-08-15 20:00:00,4,227.18,230.0,1.0124130645303284,1.2413064530328344,ATM,4.35,4.55,4.45,4.47,0.2000000000000001,0.0449438202247191,False,62,13,19425,10846,2.82,1.63,True,0.2832343001943923,AAPL,2024-08-05 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00232500,put,2025-08-15 20:00:00,4,227.18,232.5,1.0234175543621795,2.3417554362179738,ATM,6.1,6.3,6.2,6.2,0.2000000000000001,0.032258064516129,False,32,10,3043,1505,5.32,0.88,True,0.2832343001943923,AAPL,2025-07-21 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00235000,put,2025-08-15 20:00:00,4,227.18,235.0,1.034422044194031,3.442204419403113,ITM,8.15,8.4,8.275,8.58,0.25,0.0302114803625377,False,16,14,1108,2394,7.82,0.455,True,0.2832343001943923,AAPL,2024-08-05 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00237500,put,2025-08-15 20:00:00,4,227.18,237.5,1.0454265340258826,4.542653402588253,ITM,10.35,10.65,10.5,10.2,0.3000000000000007,0.0285714285714286,False,10,7,149,172,10.32,0.18,True,0.2832343001943923,AAPL,2025-07-24 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250815P00240000,put,2025-08-15 20:00:00,4,227.18,240.0,1.056431023857734,5.643102385773393,ITM,12.65,13.0,12.825,12.55,0.3499999999999996,0.0272904483430798,False,18,8,158,1277,12.82,0.005,True,0.2832343001943923,AAPL,2024-08-05 13:30:00,2025-08-11 20:00:00
